velx,vely,velz,posx,posy,posz
-66.427,5.255,-2.220,0.487,7.215,0.214
64.704,14.723,-8.701,4.601,-9.770,0.498
14.911,70.227,-6.288,3.852,-1.209,-0.291
-24.362,63.026,-17.309,2.067,1.901,-0.073
-57.255,27.418,28.088,-0.679,2.069,0.012
-61.047,3.232,-1.881,0.590,17.262,-0.063
62.800,-7.957,7.882,-1.220,-9.171,0.130
24.645,-53.225,1.161,-17.951,-8.055,0.131
28.162,49.814,-1.608,3.013,-1.123,-0.121
7.554,-65.247,-3.799,-13.339,-1.103,1.035
-60.682,27.056,-9.337,4.273,8.193,-0.166
10.239,63.825,1.988,9.652,-1.144,-0.305
8.389,57.214,-18.541,3.196,0.015,0.344
68.633,22.574,-5.416,3.242,-6.786,-0.027
65.050,-19.849,1.245,-1.697,-4.053,-0.624
-19.879,64.303,-0.464,10.426,4.141,-1.170
7.170,-42.841,59.681,-1.547,0.102,1.119
66.989,44.249,12.510,2.351,-3.628,0.729
46.236,0.222,-40.440,-0.410,-1.434,-0.349
15.842,-65.482,4.733,-13.038,-2.032,0.027
-55.078,34.897,-5.616,6.498,11.733,0.549
-47.632,50.465,0.454,6.775,7.038,-1.583
52.057,-31.364,4.494,-2.146,-2.309,-1.047
-70.210,10.867,-4.879,1.656,8.316,0.845
67.172,35.519,8.619,2.573,-3.201,-0.724
5.108,-62.137,1.188,-15.012,-0.916,-0.253
-26.928,-43.165,-1.519,-4.318,1.487,0.288
61.732,37.145,8.172,0.660,-2.033,0.382
-62.505,31.522,3.351,1.749,3.765,-0.661
-6.932,-66.193,0.347,-7.935,1.008,0.261
-61.034,-11.204,-3.385,-1.145,1.769,0.013
48.336,-29.446,17.757,-2.712,-3.151,-0.772
28.743,-33.417,15.018,-0.710,-2.077,2.063
49.013,31.024,3.359,0.708,-1.461,-0.614
36.748,41.555,-2.453,2.931,-2.878,-0.780
73.324,25.490,-6.952,1.398,-5.927,-0.627
38.976,-62.967,-5.151,-6.316,-3.365,-1.865
40.328,67.044,4.725,4.939,-1.005,0.026
12.422,-61.858,-13.631,-4.428,-0.895,-0.021
-58.610,27.015,-2.873,5.571,10.701,-0.015
-75.612,-12.477,12.083,-0.381,3.142,-0.112
52.931,26.675,-4.994,4.725,-7.513,1.097
49.400,-27.023,-0.412,-10.447,-18.424,0.206
-63.695,-34.528,12.346,-3.105,5.110,0.079
51.531,-9.621,6.379,0.499,-0.835,-0.633
-57.479,34.555,9.019,4.487,7.078,-0.454
-69.201,-14.937,12.136,0.403,2.398,-0.278
-42.015,-36.156,10.322,-3.638,3.653,0.748
29.225,49.313,-2.560,4.730,-3.307,0.119
-5.226,-67.119,-12.968,-7.509,0.230,-0.414
62.603,-27.912,8.317,-2.058,-6.873,-0.137
20.120,73.015,4.791,7.794,-2.588,0.135
-38.710,-50.778,-4.425,-6.541,5.251,0.847
1.780,-56.993,0.729,-21.092,-0.666,0.687
-78.505,-7.625,-8.751,-0.293,2.508,0.273
-0.066,-60.339,-4.471,-9.306,1.364,0.539
32.426,-76.536,9.310,-2.582,0.355,-0.190
-54.059,31.902,5.441,6.266,10.637,-0.112
31.881,43.205,10.606,1.370,-0.177,-0.807
26.102,49.215,-1.551,2.428,-2.367,-0.256
1.012,-53.111,-27.794,-1.581,0.499,-0.463
21.343,67.392,-2.730,7.855,-2.776,0.650
