velx,vely,velz,posx,posy,posz
98.068,122.609,-32.818,4.133,-3.536,-0.186
181.425,116.003,-3.932,4.713,-7.258,-0.681
-95.932,177.660,19.875,6.154,3.449,0.229
200.916,-122.746,38.640,-2.057,-2.931,0.081
19.631,-96.441,-111.918,-1.184,-0.459,0.197
-53.728,159.705,54.423,2.389,1.429,0.029
-149.811,-129.417,9.682,-1.603,1.811,-0.188
181.264,-25.721,-45.780,-0.171,-1.828,0.010
164.236,-4.338,-17.184,-0.347,-4.695,-0.815
-20.060,-39.977,-36.570,0.269,0.374,-0.171
16.128,-245.369,-9.861,-3.659,-0.461,-0.045
85.983,127.401,-4.365,2.640,-2.490,0.069
-247.092,-16.942,-16.528,-0.824,5.511,0.121
179.095,-148.106,6.070,-7.961,-10.085,-0.075
231.171,-45.763,45.476,-0.057,-3.440,0.047
50.510,-4.283,-3.672,-0.547,-1.324,0.061
-195.683,67.199,22.440,1.656,5.177,0.112
116.156,190.195,0.668,6.267,-3.032,0.017
51.154,-160.419,42.590,-2.361,0.538,0.278
236.811,-62.316,-6.823,-2.830,-10.267,-0.105
151.593,-176.153,12.355,-10.006,-8.323,0.201
225.545,-68.624,3.294,-2.632,-8.300,0.065
231.744,-49.240,-4.699,-2.040,-7.846,-0.031
160.333,135.980,-13.889,2.742,-3.833,0.456
-32.192,79.068,-25.472,2.311,2.368,0.216
-120.679,208.994,14.611,4.095,4.015,0.299
236.525,-11.286,11.280,-1.513,-13.373,-0.060
189.562,149.772,6.955,4.263,-5.085,-0.032
56.675,-135.311,-42.450,-2.147,-1.424,-0.443
205.155,-50.594,8.850,0.479,-3.562,0.004
90.006,119.381,13.077,2.345,-1.304,0.791
62.144,-9.572,-1.401,-0.083,-0.664,0.312
-106.463,201.882,6.172,17.884,9.505,0.394
148.079,164.545,21.001,4.048,-3.596,0.689
-149.872,1.720,-1.854,-1.106,1.626,-0.306
52.201,212.969,-0.337,31.906,-8.082,0.112
203.859,107.232,9.374,4.320,-7.876,0.032
-118.290,209.127,30.077,5.010,2.376,-0.005
-80.362,-223.757,-10.434,-12.619,4.989,-0.181
-15.427,-189.346,-30.324,-3.651,-0.374,-0.035
202.732,42.206,-32.689,0.470,-3.548,0.388
225.167,41.139,-2.285,1.232,-9.059,-0.127
170.833,-56.826,58.624,-0.267,-2.202,-0.102
117.127,-149.667,-12.322,-3.070,-2.168,0.319
-222.516,58.673,4.369,0.345,4.308,0.324
61.706,211.204,-22.929,4.203,-0.358,-0.187
-139.613,-186.145,-13.191,-3.781,2.832,-0.196
-111.646,-40.850,86.479,-1.009,1.128,0.321
-231.869,-22.331,-28.478,-0.189,5.186,-0.027
