velx,vely,velz,posx,posy,posz
63.812,58.570,-32.636,0.629,-1.196,0.210
-61.654,36.482,-23.664,0.859,0.460,0.351
-158.621,-8.180,38.814,-0.941,2.561,0.335
-19.798,49.247,-90.833,1.181,0.904,0.471
-70.483,-25.661,-3.882,-1.194,0.729,-0.274
-32.031,110.794,-45.556,1.632,0.262,0.708
64.519,-132.118,-2.655,-5.547,-3.026,-0.056
-28.064,-117.618,-38.183,-1.477,-0.142,-0.085
27.429,-87.545,41.670,-2.328,-0.019,0.193
43.251,135.566,21.498,4.202,-1.134,0.173
29.863,-110.689,-38.316,-1.965,-0.249,0.232
67.082,-111.107,32.761,-1.262,-0.799,-0.035
70.209,-59.130,-28.687,-0.964,-0.247,-0.140
68.382,-121.538,43.689,-1.040,-0.905,-0.056
-76.469,78.806,34.441,1.577,3.012,-0.364
25.391,-32.582,36.890,-1.073,-0.937,-0.089
-41.277,141.834,-30.953,3.807,1.663,-0.243
119.128,79.305,3.670,1.983,-3.046,-0.117
71.285,-76.833,2.351,-2.806,-2.028,-0.140
-125.089,72.881,-5.248,0.852,2.556,-0.282
-31.543,-149.933,14.546,-2.742,1.349,-0.060
44.376,127.109,-3.959,3.658,-0.163,-0.257
24.143,-131.670,1.993,-11.424,-2.063,0.332
111.189,49.681,-4.945,0.679,-2.764,-0.101
58.176,35.746,-9.785,-0.022,-1.050,-0.192
47.661,138.449,8.250,3.803,-1.920,0.015
14.329,130.075,8.224,3.096,0.002,0.391
41.677,-115.891,23.494,-2.834,-0.648,0.069
87.615,-103.972,9.159,-3.370,-3.050,-0.310
12.082,-27.327,55.860,0.025,0.025,0.287
-9.165,-136.540,-9.819,-8.747,0.199,-0.287
-9.350,111.775,-4.410,1.420,0.354,0.025
-26.121,54.221,82.482,1.190,0.306,-0.134
-49.353,-121.174,-1.053,-5.739,2.966,0.122
-36.951,106.976,-21.219,2.227,0.871,0.024
-62.363,-64.407,17.919,-1.487,0.584,0.029
-78.306,120.543,0.621,5.595,4.142,0.034
89.198,31.545,67.718,0.874,-0.953,-0.154
126.240,113.364,-31.219,1.868,-1.390,0.076
-53.107,-123.516,-3.628,-3.877,3.127,0.226
64.974,71.666,-8.104,2.898,-2.578,0.151
23.125,-0.314,-18.177,0.337,0.476,0.015
34.266,125.482,-23.385,2.724,-0.260,0.004
-100.082,-101.852,-3.321,-5.437,5.090,-0.283
-19.584,26.064,-8.804,0.736,0.705,-0.041
-110.017,33.968,-2.364,1.012,3.202,-0.313
-46.804,71.829,17.094,1.104,1.287,0.221
52.054,46.231,18.871,0.941,-0.538,-0.041
-38.104,-1.909,74.196,0.245,0.147,0.068
-145.127,-51.713,-50.813,-0.882,1.142,-0.168
-21.878,88.878,9.687,1.359,0.877,0.236
-41.867,88.105,54.361,2.197,1.475,-0.053
-130.955,43.534,27.607,0.735,3.624,0.347
109.088,-27.121,40.496,-1.489,-2.372,-0.005
-46.891,127.050,-16.760,7.670,3.094,0.596
11.259,133.726,-1.659,9.698,-0.208,-0.167
27.068,110.470,30.524,2.866,-0.102,-0.264
46.118,35.433,24.423,0.044,-0.173,0.399
-130.331,-26.955,5.236,-1.560,6.525,0.032
-18.998,-138.328,2.118,-5.341,0.471,0.194
29.663,-93.399,-10.136,-2.638,-0.514,-0.484
-43.469,151.267,-16.732,2.906,1.069,0.362
-61.800,120.667,-4.740,5.652,2.845,-0.133
106.427,40.967,-8.525,1.577,-2.422,0.259
-19.434,-13.167,-49.561,-0.411,0.204,-0.396
-4.802,109.444,0.511,1.871,0.706,0.272
14.968,37.403,-21.481,0.247,-0.582,0.194
142.492,12.812,11.288,0.701,-6.005,0.496
-111.339,-32.354,34.406,-0.554,0.790,-0.178
-50.497,-132.951,-46.724,-3.162,1.638,0.020
37.325,-133.588,19.929,-2.035,-0.004,-0.239
